slot_idx,f,seed,arm,role,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label,belief_provenance,belief_shape_ok,transfer_eligible
11,1.0,2026091302,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,42,37,0.2961650760116754,133021696,0.5489894837921201,0.120638413159594,4.260152576305162,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
12,1.0,2026091302,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,39,23,0.33750194100139197,133021696,0.9979140376212697,0.28095217731719796,3.1263624545818063,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
13,1.0,2026091303,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,47,0.3391161970066605,133021696,0.4071138920856712,0.10538588266193183,4.241132845504552,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
14,1.0,2026091303,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,48,42,0.30046980699989945,133021696,0.5267228427158612,0.09145166715564833,4.392595949945084,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
15,1.0,2026091303,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,48,42,0.29738471399468835,133021696,0.5375702955572002,0.09837401555601641,4.295457629668036,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
16,1.0,2026091303,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,46,45,0.3384912699984852,133021696,0.5615901319037399,0.0988770458519798,4.289430346938632,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
17,1.0,2026091304,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,30,37,0.3357059219997609,133021696,0.6919337489480194,0.261734571190665,3.8104675940957753,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
18,1.0,2026091304,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,28,24,0.294874894010718,133021696,0.8407392492819498,0.3200522351408546,3.6103841645281003,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
19,1.0,2026091304,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,37,41,0.2962195559957763,133021696,0.5957586026974316,0.16922857635684524,4.171935341118306,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
20,1.0,2026091304,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,26,25,0.3392782150040148,133021696,0.8118340403075512,0.31508537928701863,3.561872683063184,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
21,1.0,2026091305,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,40,29,0.34241494099842384,133021696,0.7351843614483632,0.2063777341687761,3.825669892573482,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
22,1.0,2026091305,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,41,31,0.2963327420002315,133021696,0.6725538040184907,0.16201944102743063,4.1225289081225736,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
23,1.0,2026091305,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,39,0.3168376200046623,133021696,0.42994767374163584,0.10068696816784933,4.316337708673165,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
24,1.0,2026091305,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,42,32,0.47351114499906544,133021696,0.5189077497237522,0.14005207357979155,4.2084056426815195,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
25,1.0,2026091306,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,37,39,0.3667889079952147,133021696,0.8012465131875639,0.18899333028036108,4.014562461879243,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
26,1.0,2026091306,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,41,32,0.304700523003703,133021696,0.6929636310370856,0.16916313444922623,4.161228530616382,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
27,1.0,2026091306,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,41,39,0.30634746499708854,133021696,0.5864390732536798,0.13661240192558927,4.226158459543287,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
28,1.0,2026091306,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,39,39,0.3401366479956778,133021696,0.6308700366530615,0.17357045434789936,4.0876007890784445,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
29,1.0,2026091307,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,41,42,0.33454599500691984,133021696,0.7293834248913773,0.1544596802957134,4.021030307423551,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
30,1.0,2026091307,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,41,32,0.29382702099974267,133021696,0.9920843827818548,0.2126821897966923,3.7594129742117843,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
31,1.0,2026091307,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,40,38,0.2982310880033765,133021696,0.9897830553004863,0.21067033984897382,3.807696534492173,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
32,1.0,2026091307,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,40,25,0.33799183399241883,133021696,0.9757093955665027,0.22925761210036694,3.4863798350573116,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
33,1.0,2026091308,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,47,38,0.33325795400014613,133021696,0.6331376795900266,0.12337946901244326,3.919471864808469,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
34,1.0,2026091308,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,47,31,0.29731740699207876,133021696,0.8030327797826713,0.14846555110708068,3.9097877202177695,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
35,1.0,2026091308,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,35,0.29846314499445725,133021696,0.6563396140416824,0.12466239505086743,4.089308999146057,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
36,1.0,2026091308,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,47,33,0.3460969409934478,133021696,0.7856473710415215,0.15347910782781227,3.8061515974137388,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
37,1.0,2026091309,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,41,39,0.34839256601117086,133021696,0.5477046766712638,0.15421834277215107,4.080413374282421,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
38,1.0,2026091309,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,45,37,0.2993739849916892,133021696,0.5965922911043164,0.13084872664191,4.203002880794013,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
39,1.0,2026091309,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,45,39,0.2982832500129007,133021696,0.5371320952144361,0.12150965394894381,4.275102782569837,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
40,1.0,2026091309,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,42,37,0.3443631230038591,133021696,0.6256710932519244,0.16796648226373784,4.00712592611689,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
41,1.0,2026091310,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,34,33,0.3444398299907334,133021696,0.9999604202354084,0.34132298521279847,3.1655830166389958,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
42,1.0,2026091310,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,47,19,0.2949442239914788,133021696,0.9709691942015028,0.18910592012575633,3.318787451684944,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
43,1.0,2026091310,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,46,33,0.3019513330073096,133021696,0.5985932388965193,0.13058974290055275,3.975343436067555,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
44,1.0,2026091310,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,39,31,0.34349133899377193,133021696,0.9999879661171885,0.3458198801142258,2.9596932712066732,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
45,1.0,2026091311,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,35,18,0.3483785499993246,133021696,0.9997589178527626,0.42217507647933483,2.254996044020982,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
46,1.0,2026091311,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,36,16,0.29849945500609465,133021696,0.9999686906910944,0.4059415665543341,2.405602909472683,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
47,1.0,2026091311,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,43,39,0.29860603698762134,133021696,0.5558352242222752,0.11864658564245203,4.205026395969939,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
48,1.0,2026091311,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,38,36,0.35245150499395095,133021696,0.5927775477465849,0.16186145231812166,3.989597839208641,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
49,1.0,2026091312,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,42,0.36827335800626315,133021696,0.5568888703245005,0.13593296404761399,4.072114676635795,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
50,1.0,2026091312,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,43,26,0.3112918400001945,133021696,0.9953773007356412,0.22023965762418213,3.4865088578632477,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
51,1.0,2026091312,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,43,28,0.3025277279957663,133021696,0.9809273979684963,0.19911950451337992,3.471866327736559,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
52,1.0,2026091312,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,41,24,0.3401712060003774,133021696,0.9827939998840574,0.23132783406203217,3.2238492380232335,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
53,1.0,2026091313,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,42,33,0.37358581999433227,133021696,0.8663696424101344,0.21254776862877536,3.7032623768812147,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
54,1.0,2026091313,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,40,25,0.32473646799917333,133021696,0.9924606432752916,0.2648050766508612,3.3753937369804543,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
55,1.0,2026091313,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,42,37,0.3045078970026225,133021696,0.5170588707552851,0.1308619120664034,4.189320029146031,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
56,1.0,2026091313,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,40,34,0.35327870400215033,133021696,0.8084902776142737,0.2216455227741933,3.728247681844323,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
57,1.0,2026091314,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,46,0.34516444998735096,133021696,0.4386070229028751,0.09615521358281942,4.282818440691361,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
58,1.0,2026091314,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,47,39,0.30762931299977936,133021696,0.4165320172662666,0.087931043875114,4.357397722247267,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
59,1.0,2026091314,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,39,0.3029352290031966,133021696,0.569602331105934,0.09459595446465904,4.1676608551702605,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
60,1.0,2026091314,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,46,47,0.3504871660115896,133021696,0.5285040480835106,0.08421211841789303,4.263653726732319,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
61,1.0,2026091315,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,47,20,0.3773572930076625,133021696,0.999991480377389,0.22484261359292576,2.327698034042946,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
62,1.0,2026091315,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,43,64,False,False,90,converged_no_syndrome,True,47,17,0.33201857800304424,133021696,0.9288823135632606,0.1835830240996716,3.201096313635027,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
63,1.0,2026091315,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,43,0.30814279899641406,133021696,0.4030672218624551,0.0922150491942949,4.343407264161684,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
64,1.0,2026091315,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,49,64,False,False,90,converged_no_syndrome,True,47,21,0.3444463009946048,133021696,0.9999811217301076,0.21785839632631604,2.367867312272471,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
65,1.2,2026091300,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,48,36,0.43069996299163904,133021696,0.8860961989940445,0.11777945313974458,3.7983376661657253,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
66,1.2,2026091300,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,40,32,0.36564333298883867,133021696,0.9998845563013141,0.26021132957682347,3.2517442180516327,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
67,1.2,2026091300,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,45,43,0.36207594799634535,133021696,0.6243051456479201,0.1299826374070234,4.161386207952877,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
68,1.2,2026091300,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,False,False,90,converged_no_syndrome,True,46,37,0.4041879980068188,133021696,0.9026154881506279,0.15839388418102038,3.7916452522289994,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
69,1.2,2026091301,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,46,32,0.40158751999842934,133021696,0.990475983239659,0.23373014312915874,3.1980519386403365,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
70,1.2,2026091301,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,47,29,0.36254461100907065,133021696,0.874135751377022,0.151983338970479,3.706153123344328,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
71,1.2,2026091301,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,49,42,0.3576668699970469,133021696,0.5921050031895367,0.09337227841460076,4.1398394571348645,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
72,1.2,2026091301,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,False,False,90,converged_no_syndrome,True,46,32,0.4032476099964697,133021696,0.9826199706054043,0.22852958110290394,3.299533299014618,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
73,1.2,2026091302,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,True,True,9,converged_exact,True,0,0,0.040597397994133644,133021696,1.0,0.9745112489965738,0.13011871769108607,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
74,1.2,2026091302,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,True,True,3,converged_exact,True,0,0,0.012106238005799241,133021696,0.9999999999999944,0.9620774782809793,0.21763467145647838,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
75,1.2,2026091302,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,39,40,0.3606162240030244,133021696,0.7010753189294636,0.1457331840842114,4.143573323166277,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
76,1.2,2026091302,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,True,True,10,converged_exact,True,0,0,0.04480751900700852,133021696,1.0,0.9879498988429116,0.0647411408065513,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
77,1.2,2026091303,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,47,56,0.40179195899690967,133021696,0.5308068931968472,0.10071703762350112,4.195385973385539,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
78,1.2,2026091303,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,46,48,0.35604046599473804,133021696,0.4808931100080442,0.09986856734744595,4.37197843232928,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
79,1.2,2026091303,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,48,51,0.3573943029914517,133021696,0.5375088333516436,0.10488983551330397,4.2878188567063935,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
80,1.2,2026091303,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,False,False,90,converged_no_syndrome,True,46,48,0.4104524800059153,133021696,0.5338223508009706,0.09801500523808998,4.243869138477369,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
81,1.2,2026091304,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,True,True,7,converged_exact,True,0,0,0.03371962399978656,133021696,1.0,0.9890378511703105,0.10331150000140249,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
82,1.2,2026091304,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,True,True,5,converged_exact,True,0,0,0.02127628900052514,133021696,1.0,0.9917383955829859,0.030387702986559767,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
83,1.2,2026091304,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,13,8,0.36683382200135384,133021696,1.0,0.7575376000289681,1.1434063276853652,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
84,1.2,2026091304,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,True,True,4,converged_exact,True,0,0,0.018503100000089034,133021696,1.0,0.9999991880377981,1.347330263070965e-05,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
85,1.2,2026091305,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,33,28,0.4112909779942129,133021696,0.9999999236812445,0.40226657593915394,2.618478929155331,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
86,1.2,2026091305,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,False,False,90,converged_no_syndrome,True,16,5,0.36171475300216116,133021696,1.0,0.7352601235308718,1.105271836497935,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
87,1.2,2026091305,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,42,38,0.35507215799589176,133021696,0.9997336742993765,0.20190020510481627,3.593710633067062,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
88,1.2,2026091305,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,False,False,90,converged_no_syndrome,True,39,23,0.41597178200026974,133021696,0.9999999987532211,0.35058440129187124,1.8366442052274394,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
89,1.2,2026091306,FORWARD_L1_TO_L2,SOURCE,L1_MARGINAL,L1,59,64,False,False,90,converged_no_syndrome,True,21,19,0.43135497700131964,133021696,1.0,0.5939815725533588,1.90344443530806,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
90,1.2,2026091306,FORWARD_L1_TO_L2,TARGET,L2_TRANSFER,L2,52,64,True,True,10,converged_exact,True,0,0,0.039343140000710264,133021696,1.0,0.9582257708960824,0.19987018968083753,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
91,1.2,2026091306,REVERSE_L2_TO_L1,SOURCE,L2_MARGINAL,L2,52,64,False,False,90,converged_no_syndrome,True,37,36,0.36445132199150976,133021696,0.99999580581281,0.2569488750051765,3.601792709731602,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,True
92,1.2,2026091306,REVERSE_L2_TO_L1,TARGET,L1_TRANSFER,L1,59,64,True,True,13,converged_exact,True,0,0,0.05808681900089141,133021696,1.0,0.9997173888628508,0.0023840050677362635,True,CHECK_UPDATED_CURRENT_BELIEF,CHECK_UPDATED,True,
